id,retweet_count,favorite_count,retweets_captured
725342813739728897,2,13,1
727603617826377729,12,11,2
726038962049929216,1,1,1
726080706447851522,9,8,1
725120548364247042,3033,3251,15
722882008263880708,1,0,1
725315195598417920,0,0,0
726485713718484993,605,950,4
723882278959587329,2,2,1
725905864842862596,1,0,1
725144340897615873,0,0,0
727589319708303360,0,0,0
725699094048428032,6,4,1
723580278560546817,0,0,0
725436134898208769,0,0,0
726473981428006912,0,0,0
725045741840900101,1,1,1
725739844857696256,34,40,2
725381741737828353,309,570,4
724329566030929920,13,15,1
723456348017463296,8,3,1
722561689783287808,1,0,1
726120708946812928,0,0,0
727636027922382850,29,59,1
725662993967681540,0,0,0
725761821009940481,0,0,0
724481510795927552,31,39,1
727587794860822528,237,78,1
726245961886887936,0,0,0
723141806725160961,0,0,0
725358640085917696,6,4,1
727517319677677568,3,0,1
724695645852975104,17,43,1
724310620879896578,0,0,0
725824590862159872,0,0,0
725050457840820224,18,17,1
726234474703282176,0,0,0
725832178903465984,0,0,0
723278736804687872,1,1,1
726361973248548864,0,0,0
727547735658758145,0,0,0
725452962152124416,0,0,0
724279369934471168,0,0,0
723558765975375873,0,0,0
722518267214954496,0,0,0
727583056043847680,2,1,1
723276401412050944,0,0,0
723368271890673664,0,0,1
710176997192892416,2014,2293,1
724783610855825408,19,38,4
725695274371452934,0,0,0
726120098533101568,1,0,1
722511881928200192,0,0,0
725733491145605120,0,0,0
723602688815038468,0,0,0
724276927649984513,3,1,2
725318331763417089,0,0,0
725777294103441408,0,0,0
722486348616052736,12,9,1
725325580166549505,0,0,0
727506918353195008,20,34,1
723149902344134656,0,0,0
725051482119266304,0,0,0
726440605698527236,1,0,1
725457922633793536,29,65,1
725133767157882880,10,12,1
725436279949643776,0,0,0
726491067822956544,0,0,0
724408836782723072,0,0,0
724913960508620801,0,0,0
726253622388891649,0,0,0
725874694671355905,0,0,0
724681204805582848,0,0,0
727634989316227073,0,0,0
723133966279139328,0,0,0
724121124133462016,0,0,0
722542925733830656,2,1,1
724781951769407489,0,0,0
727450653023309825,2,0,1
725128889345921026,227,459,3
723855462274207744,2,2,1
723958432525479936,0,0,0
724384775453085697,29,0,1
723078884942467073,0,0,0
724792636536573953,33,33,2
722508831952150528,0,0,0
725043550950285312,0,0,0
726591603301711872,12,7,1
725273989287813120,24,53,1
725296205102723072,37,35,1
726198669737889795,0,0,0
725448481427443712,0,0,0
725784712971739142,22,1,1
724558902507921410,76,69,3
723353713306382336,0,0,0
724237406837334016,2993,7468,26
